service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9,0,0,0,1,0,0,1,20241201,20251231
8,1,1,1,0,1,1,0,20241201,20251231
7,0,0,0,1,0,1,1,20241201,20251231
6,1,1,1,0,1,0,0,20241201,20251231
5,0,0,0,0,0,1,1,20241201,20251231
4,1,1,1,1,1,1,0,20241201,20251231
0,1,1,1,1,1,1,1,20241201,20251231
3,0,0,0,0,0,0,1,20241201,20251231
2,0,0,0,0,0,1,0,20241201,20251231
1,1,1,1,1,1,0,0,20241201,20251231
B,0,1,0,0,0,1,0,20241201,20251231
A,1,0,1,1,1,0,0,20241201,20251231
