agency_name,route_long_name,route_short_name,origin_stop,origin_lat,origin_lon,destiny_stop,destiny_lat,destiny_lon,time_of_journey
Cablebus,Constitución de 1917 a Santa Marta,2,Constitución de 1917,19.34503,-99.06265,Quetzalcóatl,19.32806,-99.04355,00:09:09
Cablebus,Constitución de 1917 a Santa Marta,2,Las Torres Buenavista,19.33183,-99.03079,Quetzalcóatl,19.32806,-99.04355,00:04:40
Cablebus,Constitución de 1917 a Santa Marta,2,Las Torres Buenavista,19.33183,-99.03079,Xalpa,19.33613,-99.0192,00:04:21
Cablebus,Constitución de 1917 a Santa Marta,2,Lomas de la Estancia,19.34078,-99.00857,San Miguel Teotongo,19.34357,-98.98944,00:06:46
Cablebus,Constitución de 1917 a Santa Marta,2,Lomas de la Estancia,19.34078,-99.00857,Xalpa,19.33613,-99.0192,00:04:05
Cablebus,Constitución de 1917 a Santa Marta,2,Quetzalcóatl,19.32806,-99.04355,Constitución de 1917,19.34503,-99.06265,00:09:09
Cablebus,Constitución de 1917 a Santa Marta,2,Quetzalcóatl,19.32806,-99.04355,Las Torres Buenavista,19.33183,-99.03079,00:04:40
Cablebus,Constitución de 1917 a Santa Marta,2,San Miguel Teotongo,19.34357,-98.98944,Lomas de la Estancia,19.34078,-99.00857,00:06:46
Cablebus,Constitución de 1917 a Santa Marta,2,San Miguel Teotongo,19.34357,-98.98944,Santa Marta,19.35971,-98.99399,00:06:09
Cablebus,Constitución de 1917 a Santa Marta,2,Santa Marta,19.35971,-98.99399,San Miguel Teotongo,19.34357,-98.98944,00:06:09
Cablebus,Constitución de 1917 a Santa Marta,2,Xalpa,19.33613,-99.0192,Las Torres Buenavista,19.33183,-99.03079,00:04:21
Cablebus,Constitución de 1917 a Santa Marta,2,Xalpa,19.33613,-99.0192,Lomas de la Estancia,19.34078,-99.00857,00:04:05
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,19.54077,-99.14177,Cuautepec,19.55783,-99.13398,00:07:37
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,19.54077,-99.14177,La Pastora,19.52765,-99.14039,00:05:24
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,19.54077,-99.14177,Tlalpexco,19.54479,-99.12619,00:06:16
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Cuautepec,19.55783,-99.13398,Campos Revolución,19.54077,-99.14177,00:07:37
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Indios Verdes,19.49631,-99.12257,Santa María Ticomán,19.51146,-99.13368,00:07:33
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,La Pastora,19.52765,-99.14039,Campos Revolución,19.54077,-99.14177,00:05:24
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,La Pastora,19.52765,-99.14039,Santa María Ticomán,19.51146,-99.13368,00:07:07
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Santa María Ticomán,19.51146,-99.13368,Indios Verdes,19.49631,-99.12257,00:07:33
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Santa María Ticomán,19.51146,-99.13368,La Pastora,19.52765,-99.14039,00:07:07
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Tlalpexco,19.54479,-99.12619,Campos Revolución,19.54077,-99.14177,00:06:16
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Charrería,19.39969,-99.21301,PARCUR/Colegio de Arquitectos,19.39678,-99.22217,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Charrería,19.39969,-99.21301,Panteón Dolores,19.4073,-99.20097,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Cineteca Nacional/Bodega de Arte,19.39121,-99.22905,PARCUR/Colegio de Arquitectos,19.39678,-99.22217,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Cineteca Nacional/Bodega de Arte,19.39121,-99.22905,Vasco de Quiroga,19.38422,-99.2318,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Los Pinos Constituyentes,19.41304,-99.19146,Panteón Dolores,19.4073,-99.20097,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,PARCUR/Colegio de Arquitectos,19.39678,-99.22217,Charrería,19.39969,-99.21301,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,PARCUR/Colegio de Arquitectos,19.39678,-99.22217,Cineteca Nacional/Bodega de Arte,19.39121,-99.22905,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Panteón Dolores,19.4073,-99.20097,Charrería,19.39969,-99.21301,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Panteón Dolores,19.4073,-99.20097,Los Pinos Constituyentes,19.41304,-99.19146,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Vasco de Quiroga,19.38422,-99.2318,Cineteca Nacional/Bodega de Arte,19.39121,-99.22905,00:04:05
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. e Ingenieros Militares,19.44394,-99.21708,Blvd. Manuel Avila C. y Reyes Espinola,19.44882,-99.21993,00:02:48
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Antonio Velázquez,19.45134,-99.21977,Blvd. Manuel Avila C. y Parque de Chapultepec,19.45258,-99.21977,00:00:30
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. Conscripto,19.44453,-99.21932,Blvd. Manuel Avila C. y Calz. Legaria,19.44242,-99.21647,00:01:26
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. Ejército Nacional,19.43856,-99.21383,Blvd. Manuel Avila C. y Legaria,19.44171,-99.21539,00:01:26
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. de Horacio,19.43539,-99.21203,Blvd. Manuel Avila C. y Homero,19.43673,-99.21296,00:00:40
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Calle 3,19.46184,-99.22235,Blvd. Manuel Avila C. y Las Torres y 1 de Mayo,19.46592,-99.22449,00:01:53
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Calz. Legaria,19.44242,-99.21647,Blvd. Manuel Avila C. y Ejército Nacional,19.43922,-99.21458,00:01:31
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Campos Eliseos,19.43132,-99.20719,Blvd. Manuel Avila C. y Priv. de Horacio,19.43356,-99.20988,00:01:28
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Ejército Nacional,19.43922,-99.21458,Blvd. Manuel Avila C. y García Conde,19.43543,-99.21255,00:01:46
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y García Conde,19.43543,-99.21255,Blvd. Manuel Avila C. y San Isidro,19.43384,-99.2107,00:00:59
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Homero,19.43673,-99.21296,Blvd. Manuel Avila C. y Av. Ejército Nacional,19.43856,-99.21383,00:00:50
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Las Torres y 1 de Mayo,19.46556,-99.22489,Blvd. Manuel Avila C. y Nuevo México,19.46296,-99.22348,00:01:12
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Legaria,19.44171,-99.21539,Blvd. Manuel Avila C. e Ingenieros Militares,19.44394,-99.21708,00:01:08
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Lomas Plaza,19.42998,-99.20595,Blvd. Manuel Avila C. y Met Life,19.42942,-99.20518,00:00:22
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Met Life,19.42942,-99.20518,Paseo de la Reforma y Prado Norte,19.42711,-99.20559,00:01:51
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Monte Elbruz,19.42967,-99.20499,Blvd. Manuel Avila C. y Campos Eliseos,19.43132,-99.20719,00:01:06
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Nuevo México,19.46296,-99.22348,Blvd. Manuel Avila C. y Parque de Chapultepec,19.45324,-99.22021,00:04:20
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Parque de Chapultepec,19.45258,-99.21977,Blvd. Manuel Avila C. y Calle 3,19.46184,-99.22235,00:04:04
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Parque de Chapultepec,19.45324,-99.22021,Blvd. Manuel Avila Camacho y Centro Israelita,19.45115,-99.22037,00:00:52
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Paseo de las Palmas,19.43047,-99.20663,Blvd. Manuel Avila C. y Lomas Plaza,19.42998,-99.20595,00:00:20
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Priv. de Horacio,19.43356,-99.20988,Blvd. Manuel Avila C. y Av. de Horacio,19.43539,-99.21203,00:01:08
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Reyes Espinola,19.44882,-99.21993,Blvd. Manuel Avila C. y Antonio Velázquez,19.45134,-99.21977,00:01:02
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y San Isidro,19.43384,-99.2107,Blvd. Manuel Avila C. y Paseo de las Palmas,19.43047,-99.20663,00:02:15
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila Camacho y Centro Israelita,19.45115,-99.22037,Blvd. Manuel Avila C. y Av. Conscripto,19.44453,-99.21932,00:02:54
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,CETRAM Chapultepec (base),19.4206,-99.17718,Tolstoi y Mariano Escobedo,19.42387,-99.17842,00:03:16
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Anatole France,19.42646,-99.1977,Paseo de la Reforma y Auditorio Nacional,19.42579,-99.19337,00:01:43
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Auditorio Nacional,19.42579,-99.19337,Paseo de la Reforma y Zoológico,19.42537,-99.19032,00:01:12
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Auditorio Nacional I,19.426,-99.19259,Paseo de la Reforma y Auditorio Nacional II,19.42621,-99.19375,00:00:27
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Auditorio Nacional II,19.42621,-99.19375,Paseo de la Reforma y Julio Verne,19.42672,-99.19689,00:01:15
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Av. Gruta,19.42463,-99.1855,Paseo de la Reforma y Gandhi,19.42392000000001,-99.1808,00:01:52
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Av. Grutas,19.42476,-99.18438,Paseo de la Reforma y Museo de Antropología II,19.42546,-99.18854,00:01:39
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Paseo de la Reforma y Fuente de Petroleos,19.42775,-99.20177,Blvd. Manuel Avila C. y Monte Elbruz,19.42967,-99.20499,00:01:31
