route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
CMX01001C,0,010001C000_1, Canal de Chalco - Barranca del Muerto,C.Base Periférico Canal de Chalco to Base Barranca del Muerto,1,SH01001C000_1
CMX01001C,0,010001C000_0, Barranca del Muerto - Canal de Chalco,C.Base Barranca del Muerto to Base Periférico Canal de Chalco,0,SH01001C000_0
CMX01001B,0,010001B000_1, Canal de Chalco - Tacubaya,B.Base Periférico Canal de Chalco to Base Tacubaya,1,SH01001B000_1
CMX01001B,0,010001B000_0, Tacubaya - Canal de Chalco,B.Base Tacubaya to Base Periférico Canal de Chalco,0,SH01001B000_0
CMX01001A,0,010001A000_1, Canal de Chalco - Cuatro Caminos,A.Base Canal de Chalco to Base Cuatro Caminos,1,SH01001A000_1
CMX01001A,0,010001A000_0, Cuatro Caminos- Canal de Chalco,A. Base Cuatro Caminos to Base Periférico Canal de Chalco,0,SH01001A000_0
CMX01002F,7,017002F000_1,Moras - Taxqueña,CASSUR 19:47 to Base Cetram Taxqueña,1,SH01002F000_1
CMX01002F,7,017002F000_0,Taxqueña - Moras,CASSUR 19:47 to Base ISSFAM,0,SH01002F000_0
CMX01002F,6,016002F000_1,Moras - Taxqueña,CASSUR 19:47 to Base Cetram Taxqueña,1,SH01002F000_1
CMX01002F,6,016002F000_0,Taxqueña - Moras,CASSUR 19:47 to Base ISSFAM,0,SH01002F000_0
CMX01002E,7,017002E000_1,Moras - C.U. ,CASSUR 19:30 to Base Cetram CU,1,SH01002E000_1
CMX01002E,7,017002E000_0,C.U. - Moras,CASSUR 19:30 to Base ISSFAM,0,SH01002E000_0
CMX01002E,6,016002E000_1,Moras - C.U. ,CASSUR 19:30 to Base Cetram CU,1,SH01002E000_1
CMX01002E,6,016002E000_0,C.U. - Moras,CASSUR 19:30 to Base ISSFAM,0,SH01002E000_0
CMX01002D,0,010002D000_1,Taxqueña - Tlaxopan,CASSUR 15:17 to Base Cetram Taxqueña,1,SH01002D000_1
CMX01002D,0,010002D000_0,Tlaxopan - Taxqueña,CASSUR 15:17 to Base Tlaxopan,0,SH01002D000_0
CMX01002C,0,010002C000_1,Tlaxopan - C.U.,CASSUR 14:22 to Base Cetram CU,1,SH01002C000_1
CMX01002C,0,010002C000_0,C.U. - Tlaxopan,CASSUR 14:22 to Base Tlaxopan,0,SH01002C000_0
CMX01002B,9,019002B000_1,Pirul - C.U.,CASSUR 13:28 to Base Cetram CU,1,SH01002B000_1
CMX01002B,9,019002B000_0,C.U. - Pirul,CASSUR 13:28 to Base El Pirul,0,SH01002B000_0
CMX01002B,8,018002B000_1,Pirul - C.U.,CASSUR 13:28 to Base Cetram CU,1,SH01002B000_1
CMX01002B,8,018002B000_0,C.U. - Pirul,CASSUR 13:28 to Base El Pirul,0,SH01002B000_0
CMX01002A,7,017002A000_1,Pirul  - Taxqueña,CASSUR 12:51 to Base Cetram Taxqueña,1,SH01002A000_1
CMX01002A,7,017002A000_0,Taxqueña - Pirul ,CASSUR 12:51 to Base El Pirul,0,SH01002A000_0
CMX01002A,6,016002A000_1,Pirul  - Taxqueña,CASSUR 12:51 to Base Cetram Taxqueña,1,SH01002A000_1
CMX01002A,6,016002A000_0,Taxqueña - Pirul ,CASSUR 12:51 to Base El Pirul,0,SH01002A000_0
CMX01003A,0,010003A000_1,Politécnico - Iztacala,Metro Politécnico  to Reyes Iztacala,1,SH01003A000_1
CMX01003A,0,010003A000_0,Iztacala - Politécnico,Reyes Iztacala to Metro Politécnico ,0,SH01003A000_0
CMX01004C,0,010004C000_1,Alameda Oriente - Central de Abasto,Base Alameda Oriente to Base Central de Abasto,1,SH01004C000_1
CMX01004C,0,010004C000_0,Central de Abasto -  Alameda Oriente,Base Central de Abasto to Base Alameda Oriente,0,SH01004C000_0
CMX01004B,0,010004B000_1,Constitución - Canal de San Juan,Base Constitución to Base Canal de San Juan,1,SH01004B000_1
CMX01004B,0,010004B000_0, Canal de San Juan - Constitución,Base Canal de San Juan to Base Constitución,0,SH01004B000_0
CMX01004A,0,010004A000_1, Constitución - Alameda Oriente,Base Constitución to Base Alameda Oriente,1,SH01004A000_1
CMX01004A,0,010004A000_0, Alameda Oriente - Constitución,Base Alameda Oriente to Base Constitución,0,SH01004A000_0
CMX01005A,0,010005A000_1,Martín Carrera - Escuela Naval,Victoria to Escuela Naval M. y WalMart,1,SH01005A000_1
CMX01005A,0,010005A000_0,Escuela Naval - Martín Carrera,Escuela Naval to Martín Carrera ,0,SH01005A000_0
CMX01006A,0,010006A000_1,Barranca del Muerto - Ermita,Barranca del Muerto to Ermita,1,SH01006A000_1
CMX01006A,0,010006A000_0,Ermita - Barranca del Muerto,Ermita to Barranca del Muerto,0,SH01006A000_0
CMX01007D,0,010007D000_1,Chapultepec - Odontología por Av.504 por puente,D. Base Av. 504 to Metro Chapultepec,1,SH01007D000_1
CMX01007D,0,010007D000_0,Odontología - Chapultepec por Av.504 por puente,D. Metro Chapultepec to Base Av. 504,0,SH01007D000_0
